retail,gender,category,brand,description,price,link
Falabella,Hombres,Zapatillas Deportivas,Mountain Gear,Zapatillas Outdoor Hombre Mountain Gear...,129.9,https://www.falabella.com.pe/falabella-pe/product/882430331/Zapatillas-Outdoor-Hombre-Mountain-Gear-Slippyhom2-Ne/882430332
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatilla de fútbol Hombre Puma Rapido III IT,169.0,https://www.falabella.com.pe/falabella-pe/product/19378263/Zapatilla-de-futbol-Hombre-Puma-Rapido-III-IT/19378266
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre adidas Coreracer,189.0,https://www.falabella.com.pe/falabella-pe/product/17323188/Zapatillas-Running-Hombre-adidas-Coreracer/17323189
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre adidas Duramo...,153.3,https://www.falabella.com.pe/falabella-pe/product/19019882/Zapatillas-Running-Hombre-adidas-Duramo-10-LIGHTMOTION-PRIMEGREEN/19019883
Falabella,Hombres,Zapatillas Deportivas,Umbro,Zapatillas Fútbol Hombre Umbro Classico X Lt Tf,139.9,https://www.falabella.com.pe/falabella-pe/product/19159961/Zapatillas%C2%A0Futbol-Hombre-Umbro-Classico-X-Lt-Tf/19159963
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas de fútbol Hombre Puma FUTURE Z...,249.0,https://www.falabella.com.pe/falabella-pe/product/19126823/Zapatillas-de-futbol-Hombre-Puma-FUTURE-Z-4.4-IT/19126825
Falabella,Hombres,Zapatillas Deportivas,Ocean Pacific,Zapatillas capsula hombre,107.0,https://www.falabella.com.pe/falabella-pe/product/113898776/Zapatillas-capsula-hombre/113898778
Falabella,Hombres,Zapatillas Deportivas,Adidas,Chimpunes Fútbol Hombre adidas Copa Sense.3...,329.0,https://www.falabella.com.pe/falabella-pe/product/19020798/Chimpunes-Futbol-Hombre-adidas-Copa-Sense.3-Cesped-Artificial/19020799
Falabella,Hombres,Zapatillas Deportivas,Asics,Zapatillas Running Hombre Asics Gel-Kayano 29...,656.1,https://www.falabella.com.pe/falabella-pe/product/19174273/Zapatillas-Running-Hombre-Asics-Gel-Kayano-29-Deep-Ocean/19174274
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas de fútbol Hombre Puma FUTURE Z...,249.0,https://www.falabella.com.pe/falabella-pe/product/19126803/Zapatillas-de-futbol-Hombre-Puma-FUTURE-Z-4.4-TT/19126806
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre Run Falcon 2,289.0,https://www.falabella.com.pe/falabella-pe/product/18952318/Zapatillas-Running-Hombre-Run-Falcon-2/18952319
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre adidas Showtheway...,209.0,https://www.falabella.com.pe/falabella-pe/product/19018836/Zapatillas-Running-Hombre-adidas-Showtheway-2.0-PRIMEGREEN/19018837
Falabella,Hombres,Zapatillas Deportivas,Nike,Zapatillas Training Hombre Nike Mc,329.0,https://www.falabella.com.pe/falabella-pe/product/19362964/Zapatillas-Training-Hombre-Nike-Mc/19362965
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Interflex Modern,189.0,https://www.falabella.com.pe/falabella-pe/product/16848515/Zapatillas-Interflex-Modern/16848517
Falabella,Hombres,Zapatillas Deportivas,Umbro,Zapatillas Fútbol Hombre Umbro Classico X Lt Tf,139.9,https://www.falabella.com.pe/falabella-pe/product/19159939/Zapatillas%C2%A0Futbol-Hombre-Umbro-Classico-X-Lt-Tf/19159941
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Running Hombre Adidas Galaxy 5   ,132.0,https://www.falabella.com.pe/falabella-pe/product/17789951/Zapatillas-Running-Hombre-Adidas-Galaxy-5%C2%A0%C2%A0%C2%A0/17789956
Falabella,Hombres,Zapatillas Deportivas,Nike,Zapatillas Fútbol Hombre Liga 5 Psd 2202 In Bl Am...,349.0,https://www.falabella.com.pe/falabella-pe/product/19422430/Zapatillas-Futbol-Hombre-Liga-5-Psd-2202-In-Bl-Am-Joma/19422431
Falabella,Hombres,Zapatillas Deportivas,New Balance,Zapatilla Hombre New Balance 520 negro,289.0,https://www.falabella.com.pe/falabella-pe/product/115666037/Zapatilla-Hombre-New-Balance-520-negro/115666038
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre Puma Retaliate 2,259.0,https://www.falabella.com.pe/falabella-pe/product/19105172/Zapatillas-Running-Hombre-Puma-Retaliate-2/19105175
Falabella,Hombres,Zapatillas Deportivas,Nike,Zapatillas Fútbol Niño Supercopa Jr Vlc 2203 Tf...,329.0,https://www.falabella.com.pe/falabella-pe/product/19422243/Zapatillas-Futbol-Nino-Supercopa-Jr-Vlc-2203-Tf-Nv-An-Joma/19422244
Falabella,Hombres,Zapatillas Deportivas,Nike,Zapatillas Fútbol Hombre Numero 10 Psd 2241 Ag...,369.0,https://www.falabella.com.pe/falabella-pe/product/19422397/Zapatillas-Futbol-Hombre-Numero-10-Psd-2241-Ag-Ng-Rj-Joma/19422398
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre All-Day Active Puma,229.0,https://www.falabella.com.pe/falabella-pe/product/19129692/Zapatillas-Running-Hombre-All-Day-Active-Puma/19129694
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas GY5427 Adidas Hombre Basketball Hoops...,299.89,https://www.falabella.com.pe/falabella-pe/product/116153936/Zapatillas-GY5427-Adidas-Hombre-Basketball-Hoops-3.0/116153938
Falabella,Hombres,Zapatillas Deportivas,Fratta,Zapatillas Running Hombre Fratta Tinmar Gr,79.9,https://www.falabella.com.pe/falabella-pe/product/882500895/Zapatillas-Running-Hombre-Fratta-Tinmar-Gr/882500896
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Training Hombre Accent,219.0,https://www.falabella.com.pe/falabella-pe/product/18136376/Zapatillas-Training-Hombre-Accent/18136380
Falabella,Hombres,Zapatillas Deportivas,Reebok,Zapatillas Running Hombre Reebok Energen Lite,199.0,https://www.falabella.com.pe/falabella-pe/product/19019866/Zapatillas-Running-Hombre-Reebok-Energen-Lite/19019867
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre Puma Anzarun Lite,199.0,https://www.falabella.com.pe/falabella-pe/product/17189101/Zapatillas-Running-Hombre-Puma-Anzarun-Lite/17189105
